Variable,Coefficient,Std Error,z-value,p-value,CI Lower,CI Upper
Intercept,-1.0641527947730978,6.1714888881361505,-0.17243048056341592,0.8630991110147412,-13.160048746509094,11.0317431569629
vagueness,0.009782382058185154,0.01961266203947294,0.49877890306256656,0.6179351515545894,-0.028657729180137693,0.048222493296508004
series_b_dummy,2.8712979569118597,1.227417753107636,2.3392996798703356,0.01931992926727853,0.46560336683581705,5.276992546987902
high_integration_cost,2.690137718526926,1.259034543446406,2.1366671252427305,0.032625075701153854,0.22247535808013996,5.157800078973712
vagueness:series_b_dummy,-0.050358765785815905,0.02156718023451493,-2.3349721770871326,0.01954487425770578,-0.09262966229354928,-0.008087869278082527
vagueness:high_integration_cost,-0.0459053267460467,0.023933292892856613,-1.9180531050011966,0.055104277838504995,-0.0928137188474941,0.0010030653554007063
series_b_dummy:high_integration_cost,-6.875264433801345,1.7641341477857668,-3.897245820240346,9.729285041500972e-05,-10.33290382735871,-3.4176250402439807
vagueness:series_b_dummy:high_integration_cost,0.10769740870568141,0.02999895457446171,3.590038727461685,0.00033062883519765693,0.048900538165883356,0.16649427924547947
log_series_a_amount,0.08843371405102603,0.4050550552318508,0.21832517063737708,0.8271757641271702,-0.7054596059592839,0.8823270340613361
team_size,-0.0024239519550363947,0.017163471903217285,-0.14122736755737783,0.8876903265630411,-0.036063738735007414,0.031215834824934622
founder_prior_exit,0.3303958172701722,0.42093073707584455,0.784917299139028,0.4325020586450047,-0.49461326738438194,1.1554049019247263
