firm_id,sector,vagueness,early_funding,later_success,team_size,prior_exit
AI001,AI,0.4925543530215075,3.874942879069577,1,77,0
AI002,AI,0.7752845495201979,1.8512148820206928,0,29,0
AI003,AI,0.5668821632290885,4.748291836747754,0,68,1
AI004,AI,0.3184242453988522,4.166937090773742,1,75,0
AI005,AI,0.2769173453675325,3.2162227294673458,1,49,0
AI006,AI,0.1599223169593882,2.9540419704260104,1,16,0
AI007,AI,0.71742961757444,2.307454076588088,0,27,1
AI008,AI,0.415882931956498,3.2144836343169345,1,43,1
AI009,AI,0.4411297751081559,3.736155660505434,1,25,1
AI010,AI,0.5832338627221477,2.9414723050103864,0,11,0
